time,latitude,longitude,depth,mag,place
1906-08-17,-32.400,-71.400,35.0,8.2,"Valparaiso, Chile"
1913-08-06,-16.469,-73.823,25.0,7.7,near the coast of southern Peru
1914-01-30,-36.292,-75.057,15.0,7.6,"off the coast of Bio-Bio, Chile"
1918-05-20,-29.292,-71.857,20.0,6.8,"offshore Coquimbo, Chile"
1918-12-04,-26.538,-70.608,40.0,7.8,"Atacama, Chile"
1919-03-02,-43.109,-71.695,15.0,7.2,"Chubut, Argentina"
1919-03-09,-41.421,-74.368,15.0,6.8,"offshore Los Lagos, Chile"
1920-08-03,-27.398,-67.848,15.0,6.9,"Catamarca, Argentina"
1920-08-20,-38.063,-73.017,15.0,6.9,"Araucania, Chile"
1920-12-10,-37.723,-70.256,15.0,7.3,"Neuquen, Argentina"
1922-01-06,-17.734,-72.743,15.0,6.8,near the coast of southern Peru
1922-11-07,-28.365,-71.960,25.0,7.0,"offshore Atacama, Chile"
1922-11-11,-28.293,-69.852,70.0,8.3,"Atacama, Chile"
1922-11-11,-28.389,-70.580,35.0,6.6,"Atacama, Chile"
1922-11-17,-30.333,-72.489,15.0,6.7,"offshore Coquimbo, Chile"
1923-05-04,-28.928,-71.332,35.0,6.5,"Atacama, Chile"
1923-11-06,-38.708,-73.182,35.0,6.2,"Araucania, Chile"
1924-01-29,-28.222,-70.755,45.0,6.7,"Atacama, Chile"
1925-05-15,-25.570,-70.492,30.0,6.4,"Antofagasta, Chile"
1927-02-28,-28.549,-71.081,35.0,6.5,"Atacama, Chile"
1927-11-14,-30.798,-70.782,50.0,6.7,"Coquimbo, Chile"
1927-11-21,-44.816,-72.926,15.0,7.2,"Aisen, Chile"
1928-01-12,-29.879,-71.819,30.0,6.3,"offshore Coquimbo, Chile"
1928-04-09,-13.613,-70.372,25.0,6.7,central Peru
1928-04-27,-13.631,-70.354,25.0,6.5,central Peru
1928-11-20,-23.152,-69.997,45.0,6.8,"Antofagasta, Chile"
1928-12-01,-35.155,-72.105,35.0,7.7,"Maule, Chile"
1928-12-02,-35.685,-72.812,30.0,7.0,"offshore Maule, Chile"
1929-05-30,-34.866,-67.885,10.0,6.6,"Mendoza, Argentina"
1929-10-19,-22.751,-68.403,65.0,6.8,"Antofagasta, Chile"
1930-06-25,-15.340,-75.034,30.0,6.4,near the coast of central Peru
1930-06-25,-14.946,-76.050,15.0,6.6,near the coast of central Peru
1931-03-18,-33.778,-71.478,35.0,7.2,"Valparaiso, Chile"
1932-11-29,-32.192,-71.305,35.0,6.6,"Valparaiso, Chile"
1933-02-23,-20.500,-70.157,35.0,7.2,"Tarapaca, Chile"
1934-03-01,-40.535,-72.459,15.0,6.6,"Los Lagos, Chile"
1934-12-04,-19.230,-69.706,35.0,6.5,"Tarapaca, Chile"
1936-05-22,-32.248,-65.731,15.0,6.2,"San Luis, Argentina"
1936-07-13,-24.720,-70.110,35.0,7.5,"Antofagasta, Chile"
1936-07-26,-24.341,-70.889,35.0,6.6,"near the coast of Antofagasta, Chile"
1937-03-14,-24.861,-70.723,15.0,6.4,"near the coast of Antofagasta, Chile"
1939-01-25,-36.305,-72.315,35.0,7.8,"Bio-Bio, Chile"
1939-04-18,-27.182,-70.842,35.0,7.4,"Atacama, Chile"
1940-10-01,-28.317,-70.877,45.0,6.5,"Atacama, Chile"
1940-10-04,-19.860,-70.343,35.0,6.9,"near the coast of Tarapaca, Chile"
1940-10-06,-19.756,-70.579,15.0,6.4,"near the coast of Tarapaca, Chile"
1940-10-11,-42.041,-73.630,35.0,7.0,"Isla Chiloe, Los Lagos, Chile"
1941-09-18,-13.834,-72.305,60.0,6.4,central Peru
1942-07-08,-24.391,-70.061,35.0,6.8,"Antofagasta, Chile"
1942-08-24,-14.819,-74.708,30.0,8.1,central Peru
1943-04-06,-31.432,-71.475,35.0,8.1,"Coquimbo, Chile"
1943-05-22,-30.868,-71.652,35.0,6.2,"Coquimbo, Chile"
1943-11-29,-28.074,-67.747,15.0,6.4,"Catamarca, Argentina"
1944-01-15,-31.372,-68.436,15.0,7.0,"San Juan, Argentina"
1944-12-22,-25.657,-70.235,45.3,6.5,"Antofagasta, Chile"
1946-07-26,-20.674,-70.416,63.5,6.3,"near the coast of Tarapaca, Chile"
1946-08-02,-26.432,-70.472,39.2,6.9,"Atacama, Chile"
1946-09-30,-13.329,-75.813,53.0,6.1,central Peru
1948-05-11,-17.227,-70.252,58.7,6.6,southern Peru
1948-07-20,-16.349,-73.513,30.0,6.5,near the coast of southern Peru
1948-08-25,-24.567,-64.482,30.0,7.0,"Salta, Argentina"
1949-04-20,-37.665,-72.676,57.7,6.9,"Araucania, Chile"
1950-08-14,-27.507,-62.838,610.0,7.1,"Santiago Del Estero, Argentina"
1950-12-09,-23.977,-67.912,113.9,8.2,"Antofagasta, Chile"
1950-12-10,-14.305,-75.472,61.5,6.3,near the coast of central Peru
1951-01-03,-38.589,-73.519,35.0,6.2,"offshore Araucania, Chile"
1951-05-10,-34.152,-72.101,32.7,6.1,"offshore Libertador O'Higgins, Chile"
1951-05-15,-21.462,-69.860,53.3,6.0,"Antofagasta, Chile"
1952-05-24,-20.872,-70.956,25.0,6.0,"near the coast of Tarapaca, Chile"
1952-06-11,-31.672,-68.483,25.0,6.5,"San Juan, Argentina"
1952-07-05,-30.652,-71.411,35.0,6.1,"Coquimbo, Chile"
1952-08-18,-30.041,-71.572,35.0,6.2,"offshore Coquimbo, Chile"
1953-05-06,-37.093,-72.866,66.0,7.5,"Bio-Bio, Chile"
1953-07-31,-34.250,-69.905,15.0,6.0,"Region Metropolitana, Chile"
1953-09-04,-32.738,-71.701,36.6,6.3,"offshore Valparaiso, Chile"
1953-12-20,-31.815,-71.775,25.0,6.3,"offshore Coquimbo, Chile"
1954-07-23,-30.415,-71.510,38.3,6.1,"Coquimbo, Chile"
1954-07-26,-41.233,-72.955,55.0,6.3,"Los Lagos, Chile"
1955-01-03,-15.231,-75.693,25.0,6.1,near the coast of central Peru
1955-04-19,-30.128,-71.935,15.0,7.0,"offshore Coquimbo, Chile"
1955-04-20,-30.400,-71.933,25.0,6.1,"offshore Coquimbo, Chile"
1955-04-20,-30.664,-72.071,15.0,6.3,"offshore Coquimbo, Chile"
1955-07-28,-40.800,-72.026,15.0,6.1,"Los Lagos, Chile"
1955-11-17,-26.406,-70.155,33.8,6.3,"Atacama, Chile"
1955-12-06,-20.610,-70.338,35.0,6.3,"near the coast of Tarapaca, Chile"
1956-01-08,-18.966,-70.507,51.5,6.6,"near the coast of Tarapaca, Chile"
1956-01-18,-24.307,-70.346,35.0,6.2,"Antofagasta, Chile"
1956-06-09,-30.332,-71.474,23.5,6.6,"Coquimbo, Chile"
1956-08-23,-15.204,-68.502,35.0,6.3,"La Paz, Bolivia"
1956-10-12,-15.653,-75.245,35.0,6.1,near the coast of central Peru
1956-12-18,-25.552,-70.036,44.9,6.8,"Antofagasta, Chile"
1957-07-24,-29.790,-71.135,50.0,6.0,"Coquimbo, Chile"
1957-07-29,-23.409,-70.940,15.0,6.5,"near the coast of Antofagasta, Chile"
1957-08-26,-18.820,-63.806,15.0,6.3,"Santa Cruz, Bolivia"
1957-11-29,-20.948,-66.713,232.5,7.7,"Potosi, Bolivia"
1957-12-28,-17.812,-64.545,15.0,6.1,"Santa Cruz, Bolivia"
1958-01-15,-16.625,-72.242,64.0,7.0,near the coast of southern Peru
1958-07-11,-21.214,-69.574,55.0,6.0,"Tarapaca, Chile"
1958-07-26,-13.428,-69.388,612.4,7.5,southern Peru
1958-09-04,-33.832,-69.958,15.0,6.8,"Region Metropolitana, Chile"
1959-01-30,-27.810,-70.961,45.0,6.3,"Atacama, Chile"
1959-04-08,-50.612,-72.666,15.0,6.1,"Santa Cruz, Argentina"
1959-05-12,-23.070,-64.907,25.0,6.6,"Salta, Argentina"
1959-05-21,-28.241,-70.823,43.0,6.0,"Atacama, Chile"
